Kanji,Reading,Meaning,Japanese Example,English Example
冬眠,とうみん,"hibernation, winter sleep",熊は冬眠中は食事をしません。,Bears do not eat while hibernating in winter.
同盟,どうめい,"alliance, union, league",両国は軍事同盟を結んだ。,The two countries formed a military alliance.
どうやら,どうやら,"it seems like, somehow or other",今日の天気はどうやら雨のようだ。,It seems like today's weather will be rainy.
動力,どうりょく,"power, motive power, dynamic force",原子力は強力な動力源である。,Nuclear power is a powerful source of energy.
登録,とうろく,"registration, register, record",ウェブサイトへの新規登録が完了しました。,The new registration to the website is complete.
討論,とうろん,discussion; debate,激しい討論の末、合意に達した。,"After heated debate, they reached an agreement."
遠ざかる,とおざかる,to go far off,友達との距離がどんどん遠ざかっている。,The distance between my friend and me is getting farther.
遠回り,とおまわり,"detour, roundabout way",景色を楽しむために遠回りをするのも良い。,Taking a detour to enjoy the scenery is also good.
トーン,トーン,tone,会議でトーンの違いが問題となった。,The tone difference became an issue at the meeting.
とかく,とかく,"anyhow, anyway, in any case",問題になるとかく相談される。,"In case of a problem, they consult in any case."
とがめる,とがめる,"to blame, to rebuke",彼は私のミスをとがめなかった。,He did not blame me for my mistake.
時折,ときおり,sometimes,時折彼は私に会いに来る。,He sometimes comes to see me.
とぎれる,とぎれる,"to pause, to be interrupted",会話がとぎれると、不自然な雰囲気が漂う。,"When the conversation pauses, an awkward atmosphere sets in."
研ぐ,とぐ,"to sharpen, to grind, to polish",包丁を研ぐと料理がしやすくなる。,Sharpening the knife makes cooking easier.
特技,とくぎ,special talent; skill,その芸術家は特技が語られる。,The artist's special talent is well-known.
独裁,どくさい,"dictatorship, despotism",国家の独裁政権が問題視されている。,The dictatorship in the country is being criticized.
特産,とくさん,"specialty, special product",この地域の特産品は美味しいです。,The specialty products of this region are delicious.
独自,どくじ,"original, peculiar, characteristic",彼は独自の方法で問題を解決した。,He solved the problem in his own unique way.
特集,とくしゅう,"feature (e.g., newspaper, special edition, report)",新聞には今週の特集が載っている。,This week's feature is in the newspaper.
独占,どくせん,monopoly,その会社は市場で独占的地位を占めている。,The company holds a monopoly position in the market.
独創,どくそう,originality,彼女は独創的なアイデアを持っている。,She has original and creative ideas.
得点,とくてん,"score, points made",サッカーの試合で彼は素晴らしい得点を挙げた。,He scored a brilliant goal in the soccer game.
特派,とくは,"send specially, special envoy",政府は特派員を派遣して情報を収集した。,The government dispatched a special envoy to gather information.
特有,とくゆう,"characteristic (of, peculiar (to))",この地域には特有の文化がある。,This region has its own characteristic culture.
とげ (をさす),とげ (をさす),thorn,道にとげが落ちていたので気をつけた。,I was careful because there were thorns on the road.
遂げる,とげる,"to accomplish, to achieve, to carry out",彼は目標を遂げるために努力した。,He worked hard to achieve his goal.
～どころか,～どころか,"rather, far from",彼女は泣くどころか、笑っていた。,"Far from crying, she was laughing."
年頃,としごろ,"age, marriageable age, adolescence",彼女は結婚適齢期に近づいている。,She is approaching the marriageable age.
戸締り,とじまり,"closing up, locking the doors",夜にはちゃんと戸締りをするように。,Make sure to lock the doors at night.
途上,とじょう,"en/in route, half way",途上国の発展を支援する活動が行われている。,Activities to support the development of developing countries are ongoing.
土台,どだい,"foundation, base, basis",計画の土台がしっかりしている。,The plan has a solid foundation.
途絶える,とだえる,"to stop, to cease, to come to an end",彼の話は突然途絶えた。,His story suddenly came to an end.
特許,とっきょ,"special permission, patent",その発明への特許申請が認められた。,The patent application for that invention has been approved.
特権,とっけん,"privilege, special right",特権を濫用するな。,Don't abuse your privileges.
とっさに,とっさに,at once,事故が起きたときはとっさに行動しなければならない。,You have to act quickly in case of an accident.
突如,とつじょ,"suddenly, all of a sudden",突如彼女が現れ、皆を驚かせた。,"She suddenly appeared, surprising everyone."
とって,とって,"handle, grip, knob",ドアの取っ手が壊れている。,The door handle is broken.
突破,とっぱ,"breaking through, breakthrough, penetration",壁を突破するような新しい技術が開発された。,A new technology that can breakthrough walls has been developed.
土手,どて,"embankment, bank",川の土手を歩くのは気持ちがいい。,It feels good to walk along the river embankment.
届,とどけ,"report, notification, registration",荷物の受取りに必要な書類を提出してください。,Please submit the required documents for receiving the package.
滞る,とどこおる,"to stagnate, to be delayed",支払いが滞ると利息が発生する。,"If the payment is delayed, interest will accrue."
整える,ととのえる,"to put in order, to arrange, to adjust; to get ready, to prepare; to raise money",メイクを整えて会議に出席した。,I attended the meeting after getting my makeup in order.
止める,とどめる,"to end, to stop, to cease, to resign",計画を止めるべきか検討しています。,We are considering whether to stop the plan.
唱える,となえる,"to recite, to chant, to call upon",宗教的な価値観を唱えている。,He advocates religious values.
殿様,とのさま,feudal lord,かつて、この地で有力な殿様がいた。,There used to be a powerful feudal lord in this area.
土俵,どひょう,arena,相撲の土俵で激しい勝負が繰り広げられた。,Intense matches were fought on the sumo ring.
扉,とびら,"door, opening",その扉を開けて中を覗いてみた。,I opened the door and peeked inside.
溝,どぶ,"ditch, drain, gap",道路に溝ができているので注意が必要だ。,Be careful as there is a ditch on the road.
徒歩,とほ,"walking, going on foot",旅行先では徒歩で街を散策するのが楽しい。,It's enjoyable to explore the city on foot while traveling.
